provider_id,specialty,n_concerns,concerns,estimated_exposure,statutory_recoverable,recovery_window_start,recovery_window_end,barred_by_statute,hia_circumstances,needs_medical_consult,recommended_next_step,potential_outcome,figure_status,fee_schedule,fee_schedule_authoritative,recovery_defensible
PRV0046,Internal Medicine,2,Upcoding (E/M complexity inflation); Escalating upcoding over time,13633.71,13633.71,2023-01-01,2024-12-01,0.0,d; e,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0043,Dermatology,1,Modifier-25 separate-E/M abuse,13491.51,13491.51,2023-01-01,2024-12-01,0.0,b; d,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0055,Internal Medicine,2,Upcoding (E/M complexity inflation); Escalating upcoding over time,13094.04,13094.04,2023-01-01,2024-12-01,0.0,d; e,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0262,Dermatology,1,Modifier-25 separate-E/M abuse,12511.09,12511.09,2023-01-01,2024-12-01,0.0,b; d,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0122,Family Medicine,1,Duplicate claim resubmission,11469.31,11469.31,2023-01-01,2024-12-01,0.0,a,False,Full Audit Review — request records for the flagged dates,Billing education and/or negotiated settlement,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0009,Orthopedic Surgery,1,Duplicate claim resubmission,10837.66,10837.66,2023-01-01,2024-12-01,0.0,a,False,Full Audit Review — request records for the flagged dates,Billing education and/or negotiated settlement,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0125,Psychiatry,1,Psychotherapy time inflation,6600.0,6600.0,2023-01-01,2024-12-01,0.0,d,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0268,Psychiatry,1,Psychotherapy time inflation,5680.0,5680.0,2023-01-01,2024-12-01,0.0,d,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0039,Cardiology,1,Unbundling component codes,1220.92,1220.92,2023-01-01,2024-12-01,0.0,b; d,False,Full Audit Review — request records for the flagged dates,Billing education and/or negotiated settlement,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0012,Cardiology,1,Unbundling component codes,1152.45,1152.45,2023-01-01,2024-12-01,0.0,b; d,False,Full Audit Review — request records for the flagged dates,Billing education and/or negotiated settlement,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
